Position,Name,OVR,Chem,Program,Price at 2024-03-28 18:20,,,,,,,,,,,,,,,,,,,,
QB,Patrick Mahomes,99,KC,Super Bowl Present,"902,500 coins",,,,,,,,,,,,,,,,,,,,
QB,Matthew Stafford,98,LAR,Sugar Rush,"537,500 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
HB,Tiki Barber,99,NYG,Ultimate Legends,"966,500 coins",,,,,,,,,,,,,,,,,,,,
HB,Raheem Mostert,98,MIA,Sugar Rush,"551,910 coins",,,,,,,,,,,,,,,,,,,,
HB,Marshall Faulk,97,LAR,AKA Crews,"260,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FB,C. Okoye Nigerian Nightmare,98,KC,AKA Crews,"1,198,500 coins",,,,,,,,,,,,,,,,,,,,
FB,Alec Ingold,97,MIA,Weekly Wildcards,"300,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WR,Demaryius Thomas,99,DEN,Sugar Rush,"887,500 coins",,,,,,,,,,,,,,,,,,,,
WR,Keenan Allen,99,LAC,Sugar Rush,"1,226,000 coins",,,,,,,,,,,,,,,,,,,,
WR,Chad Johnson,98,CIN,Ultimate Legends,"410,000 coins",,,,,,,,,,,,,,,,,,,,
WR,Nico Collins,98,HOU,Sugar Rush,"533,820 coins",,,,,,,,,,,,,,,,,,,,
WR,Puka Nacua,98,LAR,TOTY,"638,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TE,T. Kelce Big Yeti,98,KC,AKA Crews,"731,000 coins",,,,,,,,,,,,,,,,,,,,
TE,Sam LaPorta,97,DET,TOTY,"301,000 coins",,,,,,,,,,,,,,,,,,,,
TE,Dalton Schultz,97,DAL,Free Agency,"382,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LT,Andrew Thomas,98,NYG,Sugar Rush,"585,160 coins",,,,,,,,,,,,,,,,,,,,
LT,Trent Williams,97,SF,TOTY,"515,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LG,Kevin Dotson,98,PIT,Free Agency,"1,250,000 coins",,,,,,,,,,,,,,,,,,,,
LG,Joe Thuney,97,KC,TOTY,"490,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
C,Jason Kelce,99,PHI,MUT 24 Tribute,"2,407,500 coins",,,,,,,,,,,,,,,,,,,,
C,Dexter Lawrence II,97,NYG,Redux,"520,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RG,Larry Allen,98,DAL,Ultimate Legends,"2,153,500 coins",,,,,,,,,,,,,,,,,,,,
RG,Brandon Scherff,97,JAX,Weekly Wildcards,"351,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RT,Mike Onwenu,97,NE,Free Agency,"386,000 coins",,,,,,,,,,,,,,,,,,,,
RT,Penei Sewell,97,DET,TOTY,"414,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LE,Christian Barmore,98,NE,Sugar Rush,"530,000 coins",,,,,,,,,,,,,,,,,,,,
LE,John Abraham,98,ATL,Ultimate Legends,"603,500 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RE,Leonard Williams,99,SEA,Sugar Rush,"653,000 coins",,,,,,,,,,,,,,,,,,,,
RE,Bruce Smith,98,BUF,Ultimate Legends,"410,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DT,Arik Armstead,98,SF,Sugar Rush,"600,000 coins",,,,,,,,,,,,,,,,,,,,
DT,W. Perry The Fridge,98,CHI,AKA Crews,"3,265,000 coins",,,,,,,,,,,,,,,,,,,,
DT,Jalen Carter,97,PHI,Weekly Wildcards,"385,000 coins",,,,,,,,,,,,,,,,,,,,
DT,Chris Jones,97,KC,TOTY,"489,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LOLB,Danielle Hunter,98,MIN,Free Agency,"548,500 coins",,,,,,,,,,,,,,,,,,,,
LOLB,Jadeveon Clowney,98,BAL,Weekly Wildcards,"552,500 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,C.J. Mosley,98,NYJ,Sugar Rush,NAT,,,,,,,,,,,,,,,,,,,,
MLB,Germaine Pratt,97,CIN,Weekly Wildcards,"261,000 coins",,,,,,,,,,,,,,,,,,,,
MLB,Devin White,97,TB,Free Agency,"384,000 coins",,,,,,,,,,,,,,,,,,,,
MLB,Fred Warner,97,SF,TOTY,"431,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ROLB,Zaven Collins,98,ARI,Comp Pass,"1,946,000 coins",,,,,,,,,,,,,,,,,,,,
ROLB,T.J. Edwards,97,CHI,Weekly Wildcards,"260,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CB,Joey Porter Jr.,99,PIT,Sugar Rush,"1,148,500 coins",,,,,,,,,,,,,,,,,,,,
CB,Jaylon Johnson,99,CHI,Weekly Wildcards,"1,200,000 coins",,,,,,,,,,,,,,,,,,,,
CB,Marshon Lattimore,98,NO,Sugar Rush,"521,910 coins",,,,,,,,,,,,,,,,,,,,
CB,Stephon Gilmore,98,DAL,Free Agency,"1,198,500 coins",,,,,,,,,,,,,,,,,,,,
CB,Trevon Diggs,97,DAL,Weekly Wildcards,"265,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FS,Minkah Fitzpatrick,98,PIT,Weekly Wildcards,"602,500 coins",,,,,,,,,,,,,,,,,,,,
FS,Jeremy Chinn,98,CAR,Weekly Wildcards,"1,720,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SS,Kyle Hamilton,98,BAL,TOTY,"1,703,000 coins",,,,,,,,,,,,,,,,,,,,
SS,Jabrill Peppers,97,NE,TOTY,"328,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
K,Matt Prater,98,ARI,Weekly Wildcards,"514,000 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
P,J. Gillan Scottish Hammer,99,NYG,AKA Crews,"1,003,500 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PRICE,,,,,"40,421,800 coins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
KC,NYG,DAL,LAR,SF,PIT,NE,CHI,MIA,CIN,DET,PHI,BAL,ARI,DEN,LAC,HOU,JAX,ATL,SEA,BUF,MIN,NYJ,TB,NO,CAR
5,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
OVR,98,,,,,,,,,,,,,,,,,,,,,,,,
